dsid	sample	dataset	entry	status	cov	mapped_pct	err_rate	avg_len	n_reads	avg_qual	dv_snp	dv_indel	dv_tstv	dv_records	c3_snp	c3_indel	c3_tstv	c3_records	sv_records	wh_het	wh_phased	wh_phased_pct	wh_blocks	wh_n50	multiqc	flags
HG006.PacBio_HiFi_Google	HG006	PacBio_HiFi_Google	hifi_fastq	done	26.61	99.94912457819171	0.008665847	13476.0	6171939.0	81.9	6049862.0	1981906.0	1.43	8021925.0	4257981.0	958297.0	1.9	5208252.0	52212.0	3395287.0	2646572.0	77.94840318358949	22613.0	102198.0	ok	SNP6.05M / INDEL1982k / ts/tv1.43 / caller불일치(DV 6.05M vs C3 4.26M) / 위상78%
HG007.PacBio_CCS_15kb_20kb_chemistry2	HG007	PacBio_CCS_15kb_20kb_chemistry2	hifi_fastq	done	36.14	99.91127435404337	0.01436215	17553.0	6454729.0	77.4	6724642.0	2066129.0	1.34	8780495.0	4384019.0	969505.0	1.87	5345396.0	54057.0	3630506.0	2773555.0	76.39582471424093	13852.0	297001.0	ok	SNP6.72M / INDEL2066k / ts/tv1.34 / caller불일치(DV 6.72M vs C3 4.38M) / 위상76%
HG007.PacBio_HiFi_Google	HG007	PacBio_HiFi_Google	hifi_fastq	done	19.87	99.86635406885578	0.01327993	13743.0	4533621.0	80.1	6298056.0	2741067.0	1.4	9028564.0	4327708.0	973317.0	1.89	5292674.0	53081.0	3573794.0	2742080.0	76.72742189393121	23658.0	120548.0	ok	SNP6.30M / INDEL2741k / ts/tv1.40 / caller불일치(DV 6.30M vs C3 4.33M) / 위상77%
HG008-N-D.BCM_Revio_20240313	HG008-N-D	BCM_Revio_20240313	hifi_bam	done	68.02	99.96411468969984	0.009987762	16500.0	12896642.0	38.1	7093669.0	1837966.0	1.29	8922246.0	4408245.0	965101.0	1.86	5365648.0	53688.0	3841425.0	2958147.0	77.00650149358637	9214.0	542716.0	ok	SNP7.09M / INDEL1838k / ts/tv1.29 / caller불일치(DV 7.09M vs C3 4.41M) / 위상77%
HG008-N-P.PacBio_Revio_20240125	HG008-N-P	PacBio_Revio_20240125	hifi_bam	done	35.1	99.96306466558102	0.01044933	16415.0	6679241.0	38.2	6766525.0	1882441.0	1.33	8639476.0	4358725.0	960314.0	1.88	5311452.0	53320.0	3805434.0	2966107.0	77.94398746634418	11200.0	420529.0	ok	SNP6.77M / INDEL1882k / ts/tv1.33 / caller불일치(DV 6.77M vs C3 4.36M) / 위상78%
HG008-T.BCM_Revio_20240313	HG008-T	BCM_Revio_20240313	hifi_bam	done	71.96	99.9705507183942	0.01192266	18052.0	12479082.0	38.1	6450495.0	1583709.0	1.25	8028184.0	3866207.0	845690.0	1.82	4707144.0	46909.0	2413377.0	1537985.0	63.72750714040948	7045.0	0.0	ok	SNP6.45M / INDEL1584k / ts/tv1.25 / caller불일치(DV 6.45M vs C3 3.87M) / 위상64%
HG008-T.PacBio_Revio_20240125	HG008-T	PacBio_Revio_20240125	hifi_bam	done	78.59	99.9717927830626	0.01126276	17515.0	14014144.0	38.0	6449909.0	1750295.0	1.25	8194122.0	3872714.0	845775.0	1.82	4713741.0	46887.0	2409573.0	1532908.0	63.617412711712824	7591.0	0.0	ok	SNP6.45M / INDEL1750k / ts/tv1.25 / caller불일치(DV 6.45M vs C3 3.87M) / 위상64%
HG009N-LVTert-p23.HG009-N_bulk	HG009N-LVTert-p23	HG009-N_bulk	hifi_bam	done	31.57	99.96718828629578	0.01132666	19145.0	5156695.0	38.4	7179161.0	1944446.0	1.28	9113984.0	4361858.0	959243.0	1.88	5313249.0	53685.0	3846164.0	2960906.0	76.9833527639487	8648.0	578017.0	ok	SNP7.18M / INDEL1944k / ts/tv1.28 / caller불일치(DV 7.18M vs C3 4.36M) / 위상77%
HG009N-WT-p25.HG009-N_bulk	HG009N-WT-p25	HG009-N_bulk	hifi_bam	done	31.36	99.96643659325996	0.01109311	19001.0	5160382.0	38.4	7143392.0	1932819.0	1.28	9066681.0	4354228.0	959011.0	1.88	5305382.0	53690.0	3840116.0	2961631.0	77.12347751994992	8627.0	584685.0	ok	SNP7.14M / INDEL1933k / ts/tv1.28 / caller불일치(DV 7.14M vs C3 4.35M) / 위상77%
HG009N-WT-p4.HG009-N_bulk	HG009N-WT-p4	HG009-N_bulk	hifi_bam	done	84.62	99.97263014208312	0.01061329	19124.0	13825428.0	38.2	7563083.0	1606350.0	1.24	9160023.0	4425978.0	964513.0	1.85	5382667.0	53778.0	3877766.0	2942217.0	75.87402127926234	7974.0	639078.0	ok	SNP7.56M / INDEL1606k / ts/tv1.24 / caller불일치(DV 7.56M vs C3 4.43M) / 위상76%
HG009T-1C3.HG009-T_clones	HG009T-1C3	HG009-T_clones	hifi_bam	done	37.91	99.96359266186774	0.01082711	18376.0	6451996.0	38.4	6714246.0	1889675.0	1.24	8596767.0	3957939.0	870646.0	1.85	4822960.0	48565.0	2817044.0	1935716.0	68.71443967506364	8307.0	47410.0	ok	SNP6.71M / INDEL1890k / ts/tv1.24 / caller불일치(DV 6.71M vs C3 3.96M) / 위상69%
HG009T-1D5.HG009-T_clones	HG009T-1D5	HG009-T_clones	hifi_bam	done	48.5	99.97159642658622	0.01117308	19923.0	7615239.0	38.1	6777351.0	1627768.0	1.22	8398353.0	3899567.0	863294.0	1.85	4757560.0	48065.0	2663679.0	1768177.0	66.38100912309629	6938.0	0.0	ok	SNP6.78M / INDEL1628k / ts/tv1.22 / caller불일치(DV 6.78M vs C3 3.90M) / 위상66%
HG009T-3C4.HG009-T_clones	HG009T-3C4	HG009-T_clones	hifi_bam	done	42.98	99.96659859876192	0.01032865	18151.0	7403881.0	38.4	6718632.0	1706237.0	1.23	8417988.0	3912742.0	861332.0	1.85	4768651.0	48004.0	2693700.0	1798417.0	66.76381928202844	6843.0	0.0	ok	SNP6.72M / INDEL1706k / ts/tv1.23 / caller불일치(DV 6.72M vs C3 3.91M) / 위상67%
HG009T-3C9.HG009-T_clones	HG009T-3C9	HG009-T_clones	hifi_bam	done	45.68	99.97077838472275	0.01030735	19219.0	7432854.0	38.4	6768829.0	1660562.0	1.23	8422384.0	3938790.0	870078.0	1.86	4803292.0	48517.0	2800644.0	1923610.0	68.6845596941275	7216.0	70789.0	ok	SNP6.77M / INDEL1661k / ts/tv1.23 / caller불일치(DV 6.77M vs C3 3.94M) / 위상69%
HG009T-3F2.HG009-T_clones	HG009T-3F2	HG009-T_clones	hifi_bam	done	48.66	99.97272453261976	0.01140245	19478.0	7816548.0	38.2	6784470.0	1605301.0	1.22	8382986.0	3920075.0	864124.0	1.85	4778905.0	48104.0	2681424.0	1790401.0	66.77052939035379	7061.0	0.0	ok	SNP6.78M / INDEL1605k / ts/tv1.22 / caller불일치(DV 6.78M vs C3 3.92M) / 위상67%
HG009T-4G9.HG009-T_clones	HG009T-4G9	HG009-T_clones	hifi_bam	done	43.82	99.9712877066743	0.01073288	19417.0	7056211.0	38.3	6770578.0	1805764.0	1.24	8569129.0	3948901.0	870624.0	1.86	4813867.0	48528.0	2818192.0	1928386.0	68.4263527822093	7172.0	80994.0	ok	SNP6.77M / INDEL1806k / ts/tv1.24 / caller불일치(DV 6.77M vs C3 3.95M) / 위상68%
HG009T-p16.HG009-T_bulk	HG009T-p16	HG009-T_bulk	hifi_bam	done	85.37	99.96914101906894	0.01064163	18578.0	14365348.0	38.5	7065468.0	1628839.0	1.21	8687335.0	3993924.0	867322.0	1.82	4855749.0	48624.0	2837802.0	1883591.0	66.37499726901314	6755.0	102783.0	ok	SNP7.07M / INDEL1629k / ts/tv1.21 / caller불일치(DV 7.07M vs C3 3.99M) / 위상66%
HG009T-p42.HG009-T_bulk	HG009T-p42	HG009-T_bulk	hifi_bam	done	34.65	99.96508150246308	0.01113781	17782.0	6097055.0	38.6	6488631.0	1762778.0	1.26	8244585.0	3879085.0	859364.0	1.86	4733014.0	47838.0	2664225.0	1803378.0	67.68865242237423	8348.0	0.0	ok	SNP6.49M / INDEL1763k / ts/tv1.26 / caller불일치(DV 6.49M vs C3 3.88M) / 위상68%
